Provider,TotalReimbursement,AvgReimbursement,StdReimbursement,MaxReimbursement,MinReimbursement,TotalDeductible,AvgDeductible,TotalClaims,UniquePatients,AvgAge,StdAge,MinAge,MaxAge,MaleRatio,DeceasedRatio,AvgClaimDuration,StdClaimDuration,MaxClaimDuration,AvgAdmissionDuration,MaxAdmissionDuration,ChronicCond_Alzheimer_Prevalence,ChronicCond_Heartfailure_Prevalence,ChronicCond_KidneyDisease_Prevalence,ChronicCond_Cancer_Prevalence,ChronicCond_ObstrPulmonary_Prevalence,ChronicCond_Depression_Prevalence,ChronicCond_Diabetes_Prevalence,ChronicCond_IschemicHeart_Prevalence,ChronicCond_Osteoporasis_Prevalence,ChronicCond_rheumatoidarthritis_Prevalence,ChronicCond_stroke_Prevalence,RenalDiseaseIndicator_Prevalence,InpatientRatio,ClaimsPerPatient,ReimbursementPerPatient,ReimbursementPerClaim,OutpatientRatio,PotentialFraud,PotentialFraud_Binary
PRV51016,170,28.333333333333332,37.638632635454044,90,0,0,0.0,6,6,77.5,13.823892360692051,51,89,0.5,0.0,1.3333333333333333,0.816496580927726,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.0,1.0,28.333333333333332,28.333333333333332,1.0,No,0
PRV51017,142720,277.126213592233,570.1818038894332,3300,0,1050,2.0388349514563107,515,420,79.14368932038835,12.12302107805362,33,107,0.4368932038834951,0.009708737864077669,2.3572815533980584,4.521943943866222,21,0.0,0.0,0.41941747572815535,0.570873786407767,0.4174757281553398,0.11262135922330097,0.3087378640776699,0.4077669902912621,0.6815533980582524,0.7495145631067961,0.3572815533980582,0.24854368932038834,0.0912621359223301,0.1650485436893204,0.0,1.2261904761904763,339.8095238095238,277.126213592233,1.0,No,0
PRV51021,348830,1357.3151750972763,4462.486890505436,57000,0,31492,122.53696498054475,257,208,79.58365758754864,13.157170597521933,35,105,0.42412451361867703,0.0038910505836575876,3.0,5.02726938804755,21,5.758620689655173,18.0,0.3657587548638132,0.5642023346303502,0.47470817120622566,0.23346303501945526,0.40077821011673154,0.45136186770428016,0.754863813229572,0.7626459143968871,0.2723735408560311,0.33073929961089493,0.10505836575875487,0.22178988326848248,0.11284046692607004,1.2355769230769231,1677.0673076923076,1357.3151750972763,0.8871595330739299,Yes,1
PRV51023,65610,1822.5,3084.6980634832225,13000,0,9692,269.22222222222223,36,35,79.75,13.047988350699883,54,102,0.4166666666666667,0.0,4.666666666666667,6.961116495013056,21,4.555555555555555,11.0,0.4444444444444444,0.5833333333333334,0.4444444444444444,0.1388888888888889,0.2777777777777778,0.4444444444444444,0.5833333333333334,0.8333333333333334,0.25,0.2222222222222222,0.1388888888888889,0.2777777777777778,0.25,1.0285714285714285,1874.5714285714287,1822.5,0.75,No,0
PRV51024,64050,1642.3076923076924,3334.4891990563538,13000,10,9702,248.76923076923077,39,38,75.02564102564102,14.499523003927766,43,97,0.4358974358974359,0.0,2.641025641025641,3.814702716479321,21,5.333333333333333,11.0,0.38461538461538464,0.5384615384615384,0.5897435897435898,0.1282051282051282,0.358974358974359,0.41025641025641024,0.7692307692307693,0.7435897435897436,0.28205128205128205,0.358974358974359,0.15384615384615385,0.3076923076923077,0.23076923076923078,1.0263157894736843,1685.5263157894738,1642.3076923076924,0.7692307692307692,No,0
PRV51025,118350,1360.344827586207,3052.031899721988,17000,0,14284,164.183908045977,87,76,80.51724137931035,12.834240239845979,40,107,0.47126436781609193,0.0,3.1724137931034484,5.496736656716958,29,8.0,29.0,0.3218390804597701,0.5402298850574713,0.45977011494252873,0.14942528735632185,0.3218390804597701,0.47126436781609193,0.735632183908046,0.7126436781609196,0.3563218390804598,0.2988505747126437,0.06896551724137931,0.21839080459770116,0.14942528735632185,1.144736842105263,1557.2368421052631,1360.344827586207,0.8505747126436781,No,0
PRV51026,19840,261.05263157894734,668.7831316600191,3300,0,340,4.473684210526316,76,56,76.5657894736842,14.842583356739299,40,102,0.47368421052631576,0.013157894736842105,2.0921052631578947,4.342587958284621,21,0.0,0.0,0.39473684210526316,0.4342105263157895,0.39473684210526316,0.14473684210526316,0.19736842105263158,0.5131578947368421,0.7368421052631579,0.6578947368421053,0.2236842105263158,0.3026315789473684,0.07894736842105263,0.15789473684210525,0.0,1.3571428571428572,354.2857142857143,261.05263157894734,1.0,No,0
PRV51027,29840,563.0188679245283,1044.0446219937528,3300,0,0,0.0,53,44,80.0,13.403501264738487,47,101,0.49056603773584906,0.018867924528301886,3.1320754716981134,5.8178694747273,21,0.0,0.0,0.4339622641509434,0.6792452830188679,0.5094339622641509,0.16981132075471697,0.3018867924528302,0.5660377358490566,0.7735849056603774,0.8113207547169812,0.18867924528301888,0.24528301886792453,0.1509433962264151,0.3018867924528302,0.0,1.2045454545454546,678.1818181818181,563.0188679245283,1.0,No,0
PRV51029,30660,329.6774193548387,618.3119580109661,3300,0,160,1.7204301075268817,93,79,77.91397849462365,12.40674423359301,41,106,0.43010752688172044,0.010752688172043012,1.6989247311827957,3.263050540710264,21,0.0,0.0,0.34408602150537637,0.4838709677419355,0.3548387096774194,0.0967741935483871,0.3118279569892473,0.3225806451612903,0.6666666666666666,0.7096774193548387,0.1827956989247312,0.3010752688172043,0.13978494623655913,0.13978494623655913,0.0,1.1772151898734178,388.1012658227848,329.6774193548387,1.0,No,0
PRV51030,739760,4326.081871345029,6972.1108605702175,57000,0,87816,513.5438596491229,171,145,78.85380116959064,13.740311031080125,33,107,0.4152046783625731,0.011695906432748537,4.1988304093567255,4.946323510555072,24,5.621951219512195,24.0,0.4269005847953216,0.6491228070175439,0.47368421052631576,0.17543859649122806,0.38011695906432746,0.4444444444444444,0.7309941520467836,0.8070175438596491,0.2807017543859649,0.34502923976608185,0.07602339181286549,0.27485380116959063,0.47953216374269003,1.1793103448275861,5101.793103448276,4326.081871345029,0.52046783625731,No,0
PRV51031,359720,1944.4324324324325,6540.990221125198,68000,0,30244,163.48108108108107,185,157,79.63783783783784,14.789599594620972,36,106,0.372972972972973,0.005405405405405406,3.0,4.937654785686084,21,6.535714285714286,19.0,0.4864864864864865,0.6918918918918919,0.4810810810810811,0.10270270270270271,0.3837837837837838,0.43783783783783786,0.7027027027027027,0.8162162162162162,0.4594594594594595,0.2918918918918919,0.10270270270270271,0.21081081081081082,0.15135135135135136,1.178343949044586,2291.2101910828023,1944.4324324324325,0.8486486486486486,No,0
PRV51032,5420,235.65217391304347,596.2063865273236,2900,10,50,2.1739130434782608,23,21,76.43478260869566,13.39547442899525,51,97,0.43478260869565216,0.043478260869565216,1.9130434782608696,2.7454597806405077,13,0.0,0.0,0.391304347826087,0.6521739130434783,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.17391304347826086,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.0,1.0952380952380953,258.0952380952381,235.65217391304347,1.0,No,0
PRV51035,32560,1085.3333333333333,5274.670594933628,29000,0,1428,47.6,30,25,80.76666666666667,15.577798820499448,44,105,0.4,0.0,3.2666666666666666,5.619751702290973,21,15.0,15.0,0.26666666666666666,0.6,0.6,0.13333333333333333,0.36666666666666664,0.6,0.7333333333333333,0.8,0.3333333333333333,0.23333333333333334,0.26666666666666666,0.26666666666666666,0.03333333333333333,1.2,1302.4,1085.3333333333333,0.9666666666666667,No,0
PRV51036,74880,269.3525179856115,579.1512632739048,4400,0,1410,5.071942446043166,278,131,79.65827338129496,12.151055275178535,35,107,0.41007194244604317,0.0,2.050359712230216,4.002388710958206,21,0.0,0.0,0.35611510791366907,0.5719424460431655,0.3920863309352518,0.11151079136690648,0.34172661870503596,0.4748201438848921,0.7230215827338129,0.7230215827338129,0.34172661870503596,0.2949640287769784,0.0683453237410072,0.15827338129496402,0.0,2.122137404580153,571.6030534351145,269.3525179856115,1.0,No,0
PRV51037,342230,753.8105726872246,2427.046146481494,23000,0,25524,56.220264317180614,454,206,78.89867841409692,14.362796803700515,35,107,0.4251101321585903,0.022026431718061675,2.5330396475770924,4.707094923254273,21,5.565217391304348,18.0,0.42951541850220265,0.5969162995594713,0.3986784140969163,0.2290748898678414,0.34140969162995594,0.45154185022026433,0.6850220264317181,0.7995594713656388,0.3700440528634361,0.2907488986784141,0.06387665198237885,0.14537444933920704,0.05066079295154185,2.203883495145631,1661.3106796116506,753.8105726872246,0.9493392070484582,Yes,1
PRV51038,265490,1882.9078014184397,3612.4397254501177,17000,0,32260,228.79432624113474,141,107,78.56028368794327,13.19273002957432,40,102,0.3617021276595745,0.0070921985815602835,2.780141843971631,4.107644786738781,25,5.033333333333333,25.0,0.49645390070921985,0.624113475177305,0.46099290780141844,0.19148936170212766,0.3049645390070922,0.44680851063829785,0.7730496453900709,0.7943262411347518,0.3262411347517731,0.3262411347517731,0.09929078014184398,0.22695035460992907,0.2127659574468085,1.3177570093457944,2481.214953271028,1882.9078014184397,0.7872340425531915,No,0
PRV51040,74470,865.9302325581396,3171.5249172846784,21000,0,9852,114.55813953488372,86,69,78.17441860465117,13.820012650428465,39,106,0.46511627906976744,0.011627906976744186,2.6627906976744184,5.523448337057904,34,11.555555555555555,34.0,0.4069767441860465,0.627906976744186,0.38372093023255816,0.08139534883720931,0.29069767441860467,0.47674418604651164,0.7325581395348837,0.7674418604651163,0.2441860465116279,0.23255813953488372,0.12790697674418605,0.1511627906976744,0.10465116279069768,1.2463768115942029,1079.2753623188405,865.9302325581396,0.8953488372093024,No,0
PRV51041,7410,217.94117647058823,562.4232171797465,3200,0,270,7.9411764705882355,34,31,77.41176470588235,12.257632494376775,45,97,0.4117647058823529,0.0,3.3529411764705883,6.29998726762146,21,0.0,0.0,0.47058823529411764,0.5,0.20588235294117646,0.29411764705882354,0.29411764705882354,0.4411764705882353,0.6470588235294118,0.7058823529411765,0.20588235294117646,0.2647058823529412,0.058823529411764705,0.08823529411764706,0.0,1.096774193548387,239.03225806451613,217.94117647058823,1.0,No,0
PRV51042,48050,338.38028169014086,625.7915694564421,3300,0,310,2.183098591549296,142,128,79.59859154929578,12.81347908372851,34,107,0.4507042253521127,0.0,2.232394366197183,4.517366792390155,21,0.0,0.0,0.352112676056338,0.5211267605633803,0.4084507042253521,0.14084507042253522,0.2887323943661972,0.39436619718309857,0.6126760563380281,0.7605633802816901,0.2323943661971831,0.2676056338028169,0.09154929577464789,0.15492957746478872,0.0,1.109375,375.390625,338.38028169014086,1.0,No,0
PRV51043,4480,194.7826086956522,297.6402582315741,1100,0,0,0.0,23,20,81.17391304347827,14.092719506291324,41,101,0.43478260869565216,0.0,1.0,0.0,1,0.0,0.0,0.34782608695652173,0.6956521739130435,0.30434782608695654,0.13043478260869565,0.34782608695652173,0.391304347826087,0.782608695652174,0.6521739130434783,0.391304347826087,0.21739130434782608,0.0,0.043478260869565216,0.0,1.15,224.0,194.7826086956522,1.0,No,0
PRV51044,21330,361.52542372881356,633.149798583193,3300,10,130,2.2033898305084745,59,39,76.15254237288136,11.767596595388294,39,103,0.559322033898305,0.0,3.152542372881356,5.653236971194816,21,0.0,0.0,0.3728813559322034,0.576271186440678,0.5084745762711864,0.11864406779661017,0.3220338983050847,0.3728813559322034,0.5932203389830508,0.847457627118644,0.3728813559322034,0.3559322033898305,0.06779661016949153,0.13559322033898305,0.0,1.5128205128205128,546.9230769230769,361.52542372881356,1.0,No,0
PRV51045,8390,270.64516129032256,602.7212483609703,3300,0,40,1.2903225806451613,31,29,78.3225806451613,9.620766070586388,57,105,0.3870967741935484,0.0,3.2580645161290325,5.591468155058406,21,0.0,0.0,0.5161290322580645,0.5483870967741935,0.4838709677419355,0.0967741935483871,0.4838709677419355,0.41935483870967744,0.7419354838709677,0.7419354838709677,0.1935483870967742,0.1935483870967742,0.06451612903225806,0.1935483870967742,0.0,1.0689655172413792,289.3103448275862,270.64516129032256,1.0,No,0
PRV51046,109370,2878.157894736842,7053.672555125875,38000,0,8644,227.47368421052633,38,26,79.07894736842105,15.822292824157032,33,107,0.2894736842105263,0.0,2.6315789473684212,3.858448453273911,21,5.5,10.0,0.3684210526315789,0.5526315789473685,0.3157894736842105,0.34210526315789475,0.39473684210526316,0.47368421052631576,0.8157894736842105,0.9210526315789473,0.39473684210526316,0.4473684210526316,0.07894736842105263,0.10526315789473684,0.21052631578947367,1.4615384615384615,4206.538461538462,2878.157894736842,0.7894736842105263,No,0
PRV51047,2530,230.0,371.80640123591206,1300,10,0,0.0,11,11,77.54545454545455,12.596536320462354,53,97,0.5454545454545454,0.0,4.090909090909091,6.8184242381146305,21,0.0,0.0,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.0,0.0,1.0,230.0,230.0,1.0,No,0
PRV51048,27700,728.9473684210526,1574.7102512949575,7000,10,4352,114.52631578947368,38,33,77.28947368421052,14.269430365601432,52,107,0.4473684210526316,0.0,1.605263157894737,1.8821993128254422,11,5.75,11.0,0.5789473684210527,0.5789473684210527,0.3684210526315789,0.13157894736842105,0.34210526315789475,0.5263157894736842,0.8421052631578947,0.8157894736842105,0.21052631578947367,0.5,0.02631578947368421,0.10526315789473684,0.10526315789473684,1.1515151515151516,839.3939393939394,728.9473684210526,0.8947368421052632,No,0
PRV51049,21720,305.9154929577465,644.0465321804644,3300,0,190,2.676056338028169,71,65,77.64788732394366,11.34157785892156,35,97,0.4788732394366197,0.0,2.788732394366197,5.593147575273941,21,0.0,0.0,0.4647887323943662,0.6338028169014085,0.4225352112676056,0.18309859154929578,0.4788732394366197,0.4647887323943662,0.6901408450704225,0.6197183098591549,0.30985915492957744,0.29577464788732394,0.09859154929577464,0.23943661971830985,0.0,1.0923076923076922,334.15384615384613,305.9154929577465,1.0,No,0
PRV51052,30800,669.5652173913044,1588.238656180332,9000,0,2346,51.0,46,37,78.56521739130434,13.427421650261566,49,105,0.45652173913043476,0.0,3.282608695652174,5.961592044927674,21,10.0,15.0,0.32608695652173914,0.6304347826086957,0.391304347826087,0.13043478260869565,0.2608695652173913,0.41304347826086957,0.5869565217391305,0.6956521739130435,0.32608695652173914,0.2826086956521739,0.10869565217391304,0.1956521739130435,0.043478260869565216,1.2432432432432432,832.4324324324324,669.5652173913044,0.9565217391304348,Yes,1
PRV51053,8000,8000.0,0.0,8000,8000,1068,1068.0,1,1,75.0,0.0,75,75,1.0,0.0,6.0,0.0,6,6.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,8000.0,8000.0,0.0,No,0
PRV51054,15130,265.43859649122805,417.09056131834507,1900,0,140,2.456140350877193,57,40,77.33333333333333,10.85017006669437,43,97,0.45614035087719296,0.0,3.3508771929824563,5.884274527653513,21,0.0,0.0,0.3684210526315789,0.49122807017543857,0.43859649122807015,0.03508771929824561,0.3508771929824561,0.42105263157894735,0.5087719298245614,0.5087719298245614,0.10526315789473684,0.12280701754385964,0.10526315789473684,0.15789473684210525,0.0,1.425,378.25,265.43859649122805,1.0,No,0
PRV51055,21640,983.6363636363636,3395.7838641391845,16000,0,2206,100.27272727272727,22,22,75.72727272727273,17.68287258009803,36,95,0.45454545454545453,0.0,1.5909090909090908,1.6521008532886934,7,6.5,7.0,0.45454545454545453,0.6818181818181818,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.5909090909090909,0.5,0.7727272727272727,0.3181818181818182,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.09090909090909091,1.0,983.6363636363636,983.6363636363636,0.9090909090909091,No,0
PRV51056,14700,668.1818181818181,1288.2385033674632,5000,0,2146,97.54545454545455,22,21,83.68181818181819,12.368879395045353,51,101,0.4090909090909091,0.0,1.7272727272727273,1.4534628005401833,6,4.0,6.0,0.45454545454545453,0.5909090909090909,0.6818181818181818,0.22727272727272727,0.2727272727272727,0.5454545454545454,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.2727272727272727,0.22727272727272727,0.3181818181818182,0.09090909090909091,1.0476190476190477,700.0,668.1818181818181,0.9090909090909091,No,0
PRV51057,6830,1366.0,1273.8838251583227,3300,30,0,0.0,5,4,85.0,6.442049363362563,77,95,0.4,0.0,1.0,0.0,1,0.0,0.0,0.0,0.8,0.2,0.4,0.2,0.0,0.2,1.0,0.0,0.4,0.0,0.0,0.0,1.25,1707.5,1366.0,1.0,No,0
PRV51058,107030,1289.5180722891566,6524.930595577891,57000,0,5540,66.74698795180723,83,75,80.43373493975903,11.824110105312146,34,105,0.4578313253012048,0.0,2.3012048192771086,4.259093398774988,21,8.4,17.0,0.37349397590361444,0.5301204819277109,0.40963855421686746,0.10843373493975904,0.27710843373493976,0.4819277108433735,0.7469879518072289,0.7951807228915663,0.37349397590361444,0.3132530120481928,0.10843373493975904,0.1686746987951807,0.060240963855421686,1.1066666666666667,1427.0666666666666,1289.5180722891566,0.9397590361445783,No,0
PRV51059,421060,4386.041666666667,10846.377176314554,57000,10,26940,280.625,96,82,81.11458333333333,12.72698731594995,40,103,0.2604166666666667,0.0,3.4791666666666665,5.767384094912148,36,7.88,36.0,0.3229166666666667,0.6458333333333334,0.3958333333333333,0.15625,0.3020833333333333,0.3854166666666667,0.6458333333333334,0.6875,0.2916666666666667,0.2708333333333333,0.10416666666666667,0.1875,0.2604166666666667,1.170731707317073,5134.878048780488,4386.041666666667,0.7395833333333333,Yes,1
PRV51060,43710,1040.7142857142858,2605.1781389932817,14000,10,5340,127.14285714285714,42,42,78.47619047619048,12.192036775835355,52,99,0.5238095238095238,0.0,3.3095238095238093,5.528145700835243,21,5.8,10.0,0.38095238095238093,0.5952380952380952,0.4523809523809524,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.7857142857142857,0.7142857142857143,0.19047619047619047,0.30952380952380953,0.09523809523809523,0.19047619047619047,0.11904761904761904,1.0,1040.7142857142858,1040.7142857142858,0.8809523809523809,No,0
PRV51061,54940,378.8965517241379,846.8914705174736,6700,0,1328,9.158620689655173,145,67,83.93103448275862,10.464659555707401,40,101,0.31724137931034485,0.0,3.393103448275862,6.1579855018190015,21,9.0,9.0,0.2482758620689655,0.42758620689655175,0.4,0.14482758620689656,0.2689655172413793,0.46206896551724136,0.7241379310344828,0.7172413793103448,0.3310344827586207,0.25517241379310346,0.08275862068965517,0.20689655172413793,0.006896551724137931,2.1641791044776117,820.0,378.8965517241379,0.993103448275862,No,0
PRV51062,153380,386.3476070528967,1582.0120515942547,25000,0,3944,9.934508816120907,397,166,79.77833753148614,13.908293952299209,40,107,0.34005037783375314,0.0,2.596977329974811,4.927124566819832,21,5.333333333333333,7.0,0.44080604534005036,0.6070528967254408,0.47858942065491183,0.1712846347607053,0.3022670025188917,0.5138539042821159,0.743073047858942,0.7128463476070529,0.3853904282115869,0.25440806045340053,0.12846347607052896,0.2695214105793451,0.007556675062972292,2.391566265060241,923.9759036144578,386.3476070528967,0.9924433249370277,No,0
PRV51063,51110,343.02013422818794,649.1935794860635,3300,0,160,1.0738255033557047,149,115,76.38255033557047,15.001620324843584,40,105,0.40268456375838924,0.006711409395973154,2.610738255033557,5.119796513845919,21,0.0,0.0,0.4228187919463087,0.610738255033557,0.4563758389261745,0.12751677852348994,0.2953020134228188,0.436241610738255,0.7046979865771812,0.7785234899328859,0.2550335570469799,0.2751677852348993,0.10738255033557047,0.2348993288590604,0.0,1.2956521739130435,444.4347826086956,343.02013422818794,1.0,No,0
PRV51064,360320,1189.1749174917493,3480.8675241896503,37000,0,38948,128.54125412541254,303,227,79.92739273927393,13.567149973795908,36,107,0.4389438943894389,0.0033003300330033004,2.9504950495049505,5.061953077559342,30,6.305555555555555,30.0,0.36303630363036304,0.6303630363036303,0.45874587458745875,0.12871287128712872,0.35313531353135313,0.47854785478547857,0.7293729372937293,0.7887788778877888,0.3333333333333333,0.30363036303630364,0.1353135313531353,0.2079207920792079,0.1188118811881188,1.3348017621145374,1587.3127753303966,1189.1749174917493,0.8811881188118812,Yes,1
PRV51065,76570,2734.6428571428573,3990.1819155994285,11000,0,10790,385.35714285714283,28,26,82.28571428571429,10.298713126575189,59,98,0.39285714285714285,0.0,3.9285714285714284,5.054726951108689,21,6.6,18.0,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.03571428571428571,0.32142857142857145,0.5714285714285714,0.7142857142857143,0.8214285714285714,0.21428571428571427,0.17857142857142858,0.25,0.10714285714285714,0.35714285714285715,1.0769230769230769,2945.0,2734.6428571428573,0.6428571428571428,No,0
PRV51066,24790,1032.9166666666667,3108.2911272730003,15000,0,2236,93.16666666666667,24,21,75.54166666666667,13.061657018080478,43,96,0.3333333333333333,0.041666666666666664,2.0833333333333335,4.085144525852354,21,3.0,4.0,0.5,0.5833333333333334,0.2916666666666667,0.08333333333333333,0.25,0.2916666666666667,0.5416666666666666,0.7083333333333334,0.2916666666666667,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,1.1428571428571428,1180.4761904761904,1032.9166666666667,0.9166666666666666,No,0
PRV51067,334520,5767.586206896552,15030.416215635716,83000,0,13096,225.79310344827587,58,49,75.03448275862068,16.11032742459841,33,98,0.3275862068965517,0.0,3.310344827586207,5.242226982748552,24,7.583333333333333,24.0,0.29310344827586204,0.6379310344827587,0.43103448275862066,0.20689655172413793,0.2413793103448276,0.5689655172413793,0.7068965517241379,0.7413793103448276,0.3620689655172414,0.25862068965517243,0.05172413793103448,0.22413793103448276,0.20689655172413793,1.183673469387755,6826.938775510204,5767.586206896552,0.7931034482758621,Yes,1
